web-scraper-order,web-scraper-start-url,link-tempat,link-tempat-href,Nama-Tempat,ulasan
"1665299462-320","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's+Ungaran/data=!4m7!3m6!1s0x2e7089652d1ddb33:0xc16fc0e668a1d2b6!8m2!3d-7.1329147!4d110.4037384!16s%2Fg%2F11s5s820m_!19sChIJM9sdLWWJcC4RttKhaObAb8E?authuser=0&hl=id&rclk=1","null","L Aini  Local Guide · 104 ulasan                 sebulan lalu Baru     September 2022. Yay akhirnya Ungaran ada Mcdonald's sehingga tidak perlu ke Semarang untuk jajan Mcdonald's. Menu-menunya sangat enak dan ngangenin. Pembelian bisa lewat drive-thru (harus naik mobil, motor atau sepeda), makan ditempat …    Lainnya                              Suka    Bagikan"
"1665299462-321","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's+Ungaran/data=!4m7!3m6!1s0x2e7089652d1ddb33:0xc16fc0e668a1d2b6!8m2!3d-7.1329147!4d110.4037384!16s%2Fg%2F11s5s820m_!19sChIJM9sdLWWJcC4RttKhaObAb8E?authuser=0&hl=id&rclk=1","null","Ika Miranti  Local Guide30 ulasan                 4 minggu lalu Baru     Kapan buka ya? Plis segera dibuka dong, daripada jauh2 ke Semarang tiap pengen es krim nya McD  …    Lainnya            Suka    Bagikan"
"1665299462-322","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's+Ungaran/data=!4m7!3m6!1s0x2e7089652d1ddb33:0xc16fc0e668a1d2b6!8m2!3d-7.1329147!4d110.4037384!16s%2Fg%2F11s5s820m_!19sChIJM9sdLWWJcC4RttKhaObAb8E?authuser=0&hl=id&rclk=1","null","Aldo Tomatto  Local Guide · 10 ulasan                 sebulan lalu Baru     Ternyata belum bukaa , asem . Kapan bukanyaa si ?             Suka    Bagikan"
"1665299472-323","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's+Ngaliyan+Semarang/data=!4m7!3m6!1s0x2e708a984d0107b1:0x29c885abd550a82b!8m2!3d-7.0017304!4d110.340754!16s%2Fg%2F11fzs6b0ry!19sChIJsQcBTZiKcC4RK6hQ1auFyCk?authuser=0&hl=id&rclk=1","null","Arkaliantana Channel  Local Guide · 21 ulasan                 8 bulan lalu Baru     Overall makanan enak dan Tempat cukup nyaman.

Kebersihan juga terjaga. …    Lainnya                              Suka2    Bagikan"
"1665299472-324","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's+Ngaliyan+Semarang/data=!4m7!3m6!1s0x2e708a984d0107b1:0x29c885abd550a82b!8m2!3d-7.0017304!4d110.340754!16s%2Fg%2F11fzs6b0ry!19sChIJsQcBTZiKcC4RK6hQ1auFyCk?authuser=0&hl=id&rclk=1","null","Rina Dieng  Local Guide · 66 ulasan                 8 bulan lalu Baru     Makanan cepat saji favorit anak-anak, banyak pilihan menunya dari nasi ayam, burger, kentang goreng dan es krim. Lokasi berada di jalan raya Ngaliyan menuju BSB, bersebelahan dengan Pizza Hut. Parkir luas, toilet bersih, terdapat musholla …    Lainnya                     +7         Suka10    Bagikan"
"1665299472-325","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's+Ngaliyan+Semarang/data=!4m7!3m6!1s0x2e708a984d0107b1:0x29c885abd550a82b!8m2!3d-7.0017304!4d110.340754!16s%2Fg%2F11fzs6b0ry!19sChIJsQcBTZiKcC4RK6hQ1auFyCk?authuser=0&hl=id&rclk=1","null","Prince Lez  Local Guide · 308 ulasan                 2 bulan lalu Baru     Area parkir luas, kalau mau drivethru info ke penjaga tiketnya agar gratis. Tempatnya luas dan dingin. Pelayanan ramah. Harga standar semua mcd. Rasanya enak seperti di mcd pada biasanya, apalagi happymeal pas ada hadiah minionnya sangat lucu.    Lainnya                              Suka    Bagikan"
"1665299482-326","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/Mcdonald%E2%80%99s+Sambiroto/data=!4m7!3m6!1s0x2e708d640b492ff3:0x693840a6744dda31!8m2!3d-7.0317475!4d110.458328!16s%2Fg%2F11s7sxs_x4!19sChIJ8y9JC2SNcC4RMdpNdKZAOGk?authuser=0&hl=id&rclk=1","null","Ari Nugroho  Local Guide · 420 ulasan                 4 minggu lalu Baru     Telah sibuka McD Sambiroto Semarang pada tanggal 10September 2022. Selamat menikmati      Layanan…        Lainnya                  Suka3    Bagikan"
"1665299482-327","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/Mcdonald%E2%80%99s+Sambiroto/data=!4m7!3m6!1s0x2e708d640b492ff3:0x693840a6744dda31!8m2!3d-7.0317475!4d110.458328!16s%2Fg%2F11s7sxs_x4!19sChIJ8y9JC2SNcC4RMdpNdKZAOGk?authuser=0&hl=id&rclk=1","null","Firsta Videlia  Local Guide1 ulasan                 2 minggu lalu Baru     Pesan McD lewat drive-thru, beli 4 mcflurry, 2 burger, dan 2 paket panas. Isi McFlurrynya cuma setengah, dan toppingnya sangat sedikit. Operator drive-thrunya nggak ramah. Pelayanannya sangat lambat dan tidak gesit. 👎 …    Lainnya                      Suka2    Bagikan     Tanggapan dari pemilik 2 minggu lalu  Halo kak Firsta, Terimakasih atas kritik dan sarannya. Kami akan terus selalu berkomitmen untuk memberikan pelayanan yang terbaik untuk para pelangganan kami. Apabila ada kendala dan komplain bisa langsung menghubungi contact person kami. Terimakasih"
"1665299482-328","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/Mcdonald%E2%80%99s+Sambiroto/data=!4m7!3m6!1s0x2e708d640b492ff3:0x693840a6744dda31!8m2!3d-7.0317475!4d110.458328!16s%2Fg%2F11s7sxs_x4!19sChIJ8y9JC2SNcC4RMdpNdKZAOGk?authuser=0&hl=id&rclk=1","null","putri lanjarsari  Local Guide5 ulasan                 3 minggu lalu Baru     Mohon pelayanannya ditingkatan. Ini mcd terlama dlm pelayanan yg pernah sy datangi. saya makan ditempat pada tgl 16 sept malam, keadaan rame. Saya bolak balik ngecek ke tmpt pick up, disitu berderet makanan2 yg sudah siap tp lama pengantarannya. Sy nunggu sktr 40mnt, dtg2 kentang sy sudah dingin, alot.             Suka    Bagikan     Tanggapan dari pemilik 3 minggu lalu  Halo kak Putri. Terimakasih untuk kritik dan sarannya. Mohon maaf atas pelayanan yang kurang memuaskan. Kami akan terus meningkatkan kualitas baik dari segi makanan maupun pelayanan."
"1665299491-329","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's/data=!4m7!3m6!1s0x2e708b77cf1342a3:0x435f1f2a9d155533!8m2!3d-6.9887945!4d110.3943631!16s%2Fg%2F11c5864bbw!19sChIJo0ITz3eLcC4RM1UVnSofX0M?authuser=0&hl=id&rclk=1","null","Afandi Amir  Local Guide · 125 ulasan                 5 bulan lalu Baru     Suasana setelah lebaran rame, menunya banyak yang baru lebih ke minuman kopi. Pemesanan di MC'D ini sudah bisa melalui layar touchscreen. Lebih interaktif dan lebih memanjakan konsumen. Lantai 2nya bersih dan enak untuk duduk santai ngobrol.    Lainnya                          Suka    Bagikan"
"1665299491-330","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's/data=!4m7!3m6!1s0x2e708b77cf1342a3:0x435f1f2a9d155533!8m2!3d-6.9887945!4d110.3943631!16s%2Fg%2F11c5864bbw!19sChIJo0ITz3eLcC4RM1UVnSofX0M?authuser=0&hl=id&rclk=1","null","Nana Fz Muna  Local Guide · 31 ulasan                 4 bulan lalu Baru     Sudah ada layar pesan mandiri atau mesin pesan otomatis, mempermudah kita melihat2 menu dengan jelas dan leluasa. Ke kasir hanya untuk membayar dan/ mengambil pesanan. Ruangan nyaman dan cozy, ada musholla juga di lantai 2. Minus cuma di …    Lainnya                      Suka4    Bagikan"
"1665299491-331","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's/data=!4m7!3m6!1s0x2e708b77cf1342a3:0x435f1f2a9d155533!8m2!3d-6.9887945!4d110.3943631!16s%2Fg%2F11c5864bbw!19sChIJo0ITz3eLcC4RM1UVnSofX0M?authuser=0&hl=id&rclk=1","null","Hernandika Prayuda  Local Guide · 30 ulasan                 10 bulan lalu Baru     Untuk para driver online, kalau dapat orderan makanan di McD adalah pengalaman yang sangat tidak menyenangkan. Loket pemesanan online berbarengan dengan jalur driver through, tempat tunggu juga di sekitar jalur driver through jadi siap2 …    Lainnya                          Suka11    Bagikan"
"1665299502-332","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's+Ciputra+Semarang/data=!4m7!3m6!1s0x2e708b58d8614015:0xafbc7969f854c012!8m2!3d-6.9893628!4d110.4241909!16s%2Fg%2F11r9j25p6!19sChIJFUBh2FiLcC4REsBU-Gl5vK8?authuser=0&hl=id&rclk=1","null","Ferus Amazōn  Local Guide · 69 ulasan                 3 bulan lalu Baru     im really lovin it. membeli makanan maupun cemilan. Pelayanannya super cepat & baik, seat yang disediakan banyak, kebersihan resto baik. …    Lainnya                      Suka    Bagikan"
"1665299502-333","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's+Ciputra+Semarang/data=!4m7!3m6!1s0x2e708b58d8614015:0xafbc7969f854c012!8m2!3d-6.9893628!4d110.4241909!16s%2Fg%2F11r9j25p6!19sChIJFUBh2FiLcC4REsBU-Gl5vK8?authuser=0&hl=id&rclk=1","null","Puji Prihatin  Local Guide2 ulasan                 7 bulan lalu Baru     Entah hari ini aku merasa agak kecewa, gak seperti biasanya, gofood di McDonald's Ciputra  nasinya dingin trus lembek, ayamnya juga dingin , ya demi anak kos ttep harus di mkan    Lainnya                      Suka1    Bagikan"
"1665299502-334","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's+Ciputra+Semarang/data=!4m7!3m6!1s0x2e708b58d8614015:0xafbc7969f854c012!8m2!3d-6.9893628!4d110.4241909!16s%2Fg%2F11r9j25p6!19sChIJFUBh2FiLcC4REsBU-Gl5vK8?authuser=0&hl=id&rclk=1","null","Yenni Oktya  Local Guide · 38 ulasan                 4 bulan lalu Baru     Untuk pelayanan di es krimnya good, tp untuk pelayanan di mkanannya lama bgt sih menurut saya. Semoga kedepannya bisa lebih baik lagi.                   Suka    Bagikan"
"1665299512-335","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's+Tentara+Pelajar+Semarang/data=!4m7!3m6!1s0x2e708de55a863633:0x96f29f921a8c395f!8m2!3d-7.0093293!4d110.436938!16s%2Fg%2F11t3g9x3zc!19sChIJMzaGWuWNcC4RXzmMGpKf8pY?authuser=0&hl=id&rclk=1","null","Adi P  Local Guide10 ulasan                 3 minggu lalu Baru     Tempat ny nyaman, bersih, pelayanan ny enak, mantab lah..      Layanan     Makan …        Lainnya                  Suka1    Bagikan"
"1665299512-336","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's+Tentara+Pelajar+Semarang/data=!4m7!3m6!1s0x2e708de55a863633:0x96f29f921a8c395f!8m2!3d-7.0093293!4d110.436938!16s%2Fg%2F11t3g9x3zc!19sChIJMzaGWuWNcC4RXzmMGpKf8pY?authuser=0&hl=id&rclk=1","null","Daffa Dzulfikar F  Local Guide · 44 ulasan                 2 minggu lalu Baru     Pelayanan baik dan ramah² semua, tempat bersih pesanan cepat datang.      Layanan…        Lainnya                  Suka    Bagikan"
"1665299512-337","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's+Tentara+Pelajar+Semarang/data=!4m7!3m6!1s0x2e708de55a863633:0x96f29f921a8c395f!8m2!3d-7.0093293!4d110.436938!16s%2Fg%2F11t3g9x3zc!19sChIJMzaGWuWNcC4RXzmMGpKf8pY?authuser=0&hl=id&rclk=1","null","Adrian Dwi Rochyadi  Local Guide · 141 ulasan                 3 minggu lalu Baru     Listrik mati, tempat ikut mati, transaksi lumpuh, mau pake aplikasi gak bisa, drive thru juga ikut mati, kalah sama Indomaret dan Alfamart
Sekelas mcd listrik mati , kok tempat ikut mati juga, hadehh                               Suka4    Bagikan"
